ID,EN,DE,ZH
EMPTY,,,
PLAY,Play,Spielen,玩
INSTRUCTIONS,"WASD to move, space to shoot, p to pause","WASD zum bewegen, leertaste zum schiessen, p zum pausieren","WASD键移动, 空格键射击, P键暂停"
SCORE,Score: %d,Punktzahl: %d,
GAME_OVER,Game Over,Game Over,
EXPERIENCE,XP,XP,
LEVEL_UP,LEVEL UP!,LEVEL UP!,
CHOOSE_UPGRADE,CHOOSE UPGRADE,WÄHLE EIN UPGRADE,
GAME_PAUSED,Game is paused…,Spiel ist pausiert...,游戏暂停...
TRY_AGAIN,Press enter to try again,Drück enter um es erneut zu versuchen,
PRESS_TO_PLAY,Press enter to play,Drück enter um zu spielen,
GAME_TITLE,Asteroids,Asteroids,
